franchise,band,pos,q_observed,q_league,q_shrunk,lift,n_picks,shrink_k,source,basis,confidence
Ronnie,rd1-3,DEF,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Team JoeBa,rd1-3,DEF,0.0,0.0,0.0,1.0,27,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Antdell & Ernie,rd4-6,QB,0.155,0.132,0.139,1.0534,39,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Cambrias,rd4-6,QB,0.0208,0.132,0.0979,0.7421,39,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Chris & Dom,rd4-6,QB,0.1752,0.132,0.1452,1.1004,39,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Frank & Julian,rd4-6,QB,0.1533,0.132,0.1385,1.0496,39,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
GaTTa,rd4-6,QB,0.0695,0.132,0.1245,0.9434,12,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
John Juliano,rd4-6,QB,0.2504,0.132,0.1492,1.1303,15,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
LFTLR,rd4-6,QB,0.1704,0.132,0.1399,1.0602,23,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Mike Long,rd4-6,QB,0.2638,0.132,0.1477,1.1195,12,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
Nolan & Vinny,rd4-6,QB,0.1638,0.132,0.1417,1.0739,39,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Phil Baldino,rd4-6,QB,0.1569,0.132,0.1378,1.0442,27,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd4-6,QB,0.0208,0.132,0.0979,0.7421,39,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Richie,rd4-6,QB,0.0564,0.132,0.1088,0.8247,39,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Rob & GregBo,rd4-6,QB,0.1167,0.132,0.1273,0.9646,39,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Ronnie,rd4-6,QB,0.1375,0.132,0.1336,1.0125,38,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Team JoeBa,rd4-6,QB,0.1939,0.132,0.1465,1.1098,27,88.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Antdell & Ernie,rd4-6,RB,0.3497,0.3176,0.3228,1.0165,39,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Cambrias,rd4-6,RB,0.3334,0.3176,0.3201,1.0081,39,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Chris & Dom,rd4-6,RB,0.3659,0.3176,0.3254,1.0248,39,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Frank & Julian,rd4-6,RB,0.3347,0.3176,0.3204,1.0088,39,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
GaTTa,rd4-6,RB,0.4113,0.3176,0.3229,1.0167,12,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
John Juliano,rd4-6,RB,0.2009,0.3176,0.3094,0.9744,15,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
LFTLR,rd4-6,RB,0.3115,0.3176,0.3169,0.998,23,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Mike Long,rd4-6,RB,0.3826,0.3176,0.3212,1.0116,12,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
Nolan & Vinny,rd4-6,RB,0.1826,0.3176,0.2955,0.9307,39,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Phil Baldino,rd4-6,RB,0.4119,0.3176,0.3288,1.0353,27,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd4-6,RB,0.42,0.3176,0.3343,1.0526,39,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Richie,rd4-6,RB,0.3493,0.3176,0.3227,1.0163,39,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Rob & GregBo,rd4-6,RB,0.34,0.3176,0.3212,1.0115,39,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Ronnie,rd4-6,RB,0.1277,0.3176,0.2872,0.9045,38,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Team JoeBa,rd4-6,RB,0.3052,0.3176,0.3161,0.9954,27,200.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Antdell & Ernie,rd4-6,WR,0.3595,0.41,0.3862,0.9419,39,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Cambrias,rd4-6,WR,0.5931,0.41,0.4964,1.2107,39,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Chris & Dom,rd4-6,WR,0.3381,0.41,0.3761,0.9174,39,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Frank & Julian,rd4-6,WR,0.4158,0.41,0.4127,1.0067,39,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
GaTTa,rd4-6,WR,0.3333,0.41,0.3935,0.9597,12,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
John Juliano,rd4-6,WR,0.3397,0.41,0.392,0.9562,15,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
LFTLR,rd4-6,WR,0.2937,0.41,0.3699,0.9021,23,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Mike Long,rd4-6,WR,0.2841,0.41,0.3828,0.9338,12,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
Nolan & Vinny,rd4-6,WR,0.3673,0.41,0.3898,0.9509,39,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Phil Baldino,rd4-6,WR,0.289,0.41,0.3638,0.8873,27,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd4-6,WR,0.4295,0.41,0.4192,1.0224,39,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Richie,rd4-6,WR,0.5379,0.41,0.4703,1.1472,39,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Rob & GregBo,rd4-6,WR,0.4083,0.41,0.4092,0.9981,39,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Ronnie,rd4-6,WR,0.6219,0.41,0.5085,1.2404,38,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Team JoeBa,rd4-6,WR,0.1899,0.41,0.3259,0.7949,27,43.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Antdell & Ernie,rd4-6,TE,0.1227,0.1351,0.1305,0.9656,39,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Cambrias,rd4-6,TE,0.0527,0.1351,0.1042,0.7709,39,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Chris & Dom,rd4-6,TE,0.1207,0.1351,0.1297,0.96,39,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Frank & Julian,rd4-6,TE,0.0714,0.1351,0.1112,0.8228,39,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
GaTTa,rd4-6,TE,0.1858,0.1351,0.143,1.0586,12,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
John Juliano,rd4-6,TE,0.2089,0.1351,0.149,1.1026,15,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
LFTLR,rd4-6,TE,0.1611,0.1351,0.1419,1.0503,23,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
