season,week,posteam,plays,pass_rate,xpass_rate,proe
2020,14,BAL,53,0.47169811320754745,0.6794745379461433,-20.777642473859586
2020,14,BUF,68,0.6617647058823527,0.517533021266846,14.423168461550674
2020,14,CAR,61,0.6885245901639342,0.718345719771307,-2.982112960737282
2020,14,CHI,56,0.642857142857143,0.5312504470348358,11.160669582230721
2020,14,CIN,68,0.5882352941176472,0.6804937003728222,-9.2258406255175
2020,14,CLE,77,0.7012987012987018,0.6592623049562627,4.203639634243905
2020,14,DAL,47,0.48936170212765945,0.4619880793418021,2.7373622785857368
2020,14,DEN,55,0.5454545454545457,0.5031931939450177,4.226135150952803
2020,14,DET,54,0.7407407407407409,0.666281572646565,7.4459168094175965
2020,14,GB,62,0.5967741935483868,0.5541955590728791,4.257863447550769
2020,14,HOU,56,0.642857142857143,0.6821663667048726,-3.9309223847729613
2020,14,IND,57,0.4912280701754388,0.6412554579345804,-15.00273877591416
2020,14,JAX,69,0.8115942028985508,0.7436006507579831,6.799355214056768
2020,14,KC,57,0.6315789473684209,0.5020695630657046,12.95093843027163
2020,14,LA,60,0.4333333333333332,0.5278340229143699,-9.45006895810367
2020,14,LAC,70,0.6285714285714289,0.682399535392012,-5.382810682058315
2020,14,LV,68,0.7058823529411767,0.6712541860692641,3.4628166871912613
2020,14,MIA,72,0.75,0.6808470212337043,6.915297876629567
2020,14,MIN,71,0.5915492957746479,0.5967819858604753,-0.5232690085827385
2020,14,NE,52,0.48076923076923106,0.7287463617439454,-24.79771309747143
2020,14,NO,58,0.7068965517241377,0.7030499952620473,0.38465564620904225
2020,14,NYG,41,0.5853658536585367,0.6566379361036347,-7.127208244509808
2020,14,NYJ,49,0.5510204081632656,0.6485664884046632,-9.754608024139767
2020,14,PHI,62,0.5322580645161294,0.5636661158153606,-3.1408051299231188
2020,14,PIT,55,0.6909090909090906,0.667284762317484,2.362432859160657
2020,14,SEA,67,0.4776119402985077,0.5637724688693659,-8.616052857085826
2020,14,SF,73,0.6301369863013699,0.6814010180022618,-5.126403170089189
2020,14,TB,45,0.4888888888888888,0.588072055329879,-9.918316644099024
2020,14,TEN,64,0.375,0.5271084576961584,-15.210845769615844
2020,14,WAS,56,0.5714285714285716,0.5627512585903917,0.8677312838179962
2020,15,ARI,67,0.5820895522388062,0.588147753821825,-0.6058201583018841
2020,15,ATL,62,0.8064516129032256,0.6367368207823846,16.971479212084105
2020,15,BAL,61,0.44262295081967223,0.5212701062870319,-7.864715546735962
2020,15,BUF,64,0.65625,0.5618056620587595,9.444433794124052
2020,15,CAR,62,0.6290322580645162,0.6542959102699835,-2.5263652205467224
2020,15,CHI,63,0.3968253968253966,0.48506650127588746,-8.824110445049088
2020,15,CIN,53,0.26415094339622647,0.5250462745579909,-26.089533116176444
2020,15,CLE,62,0.5483870967741932,0.5180818260677398,3.030527070645339
2020,15,DAL,56,0.642857142857143,0.6067744621208735,3.6082680736269523
2020,15,DEN,60,0.6000000000000002,0.7233813293278217,-12.338132932782154
2020,15,DET,65,0.6153846153846158,0.6033654919037452,1.201912348087053
2020,15,GB,55,0.5818181818181817,0.5089444947513667,7.287368706681496
2020,15,HOU,62,0.7096774193548389,0.6884181316821805,2.125928767265839
2020,15,IND,51,0.5686274509803924,0.5583957422013376,1.0231708779054771
2020,15,JAX,51,0.5882352941176473,0.6831356149678137,-9.490032085016642
2020,15,KC,86,0.5930232558139534,0.5404865911533665,5.253666466058693
2020,15,LA,53,0.6603773584905662,0.7582106494678642,-9.783329097729798
2020,15,LAC,61,0.5409836065573769,0.5801840805616536,-3.920047400427673
2020,15,LV,73,0.4931506849315067,0.6112784653493802,-11.812778041787354
2020,15,MIA,69,0.4202898550724641,0.5065704403796059,-8.628058530714178
2020,15,MIN,62,0.5967741935483868,0.6771298171051087,-8.035562355672187
2020,15,NE,49,0.5918367346938773,0.6234799891102071,-3.164325441632976
2020,15,NO,52,0.6730769230769229,0.7120385210101421,-3.8961597933219183
2020,15,NYG,52,0.6346153846153844,0.7020804563967081,-6.7465071781323775
2020,15,NYJ,59,0.5593220338983053,0.5356300733352112,2.3691960563094083
2020,15,PHI,75,0.6533333333333338,0.7019693917036056,-4.863605837027185
2020,15,PIT,60,0.6333333333333336,0.6742057021707296,-4.087236883739598
2020,15,SEA,50,0.6000000000000002,0.591159545481205,0.8840454518795227
2020,15,SF,79,0.556962025316456,0.6514769236120997,-9.451489829564375
2020,15,TB,61,0.737704918032787,0.5515442220646826,18.616069596810448
2020,15,TEN,63,0.44444444444444425,0.5270811132495364,-8.263666880509218
2020,15,WAS,76,0.7631578947368419,0.6970052140715876,6.615268066525437
2020,16,ARI,77,0.7142857142857146,0.6964852558327961,1.7800458452918555
2020,16,ATL,57,0.6140350877192985,0.5874676144959633,2.656747322333519
2020,16,BAL,64,0.4375,0.5247596272965893,-8.725962729658931
2020,16,BUF,67,0.6119402985074625,0.48548484660351465,12.645545190394781
2020,16,CAR,59,0.5084745762711861,0.5747344577211445,-6.625988144995842
2020,16,CHI,67,0.5671641791044778,0.5783660597543219,-1.1201880649844065
2020,16,CIN,70,0.5428571428571428,0.5409234049596956,0.19337378974472186
2020,16,CLE,69,0.7391304347826085,0.672259693560393,6.687074122221559
2020,16,DAL,63,0.49206349206349204,0.5453595883316465,-5.329609626815452
2020,16,DEN,74,0.6486486486486484,0.7044609233334258,-5.581227468477746
2020,16,DET,46,0.6956521739130437,0.7102049278176349,-1.455275390459121
2020,16,GB,60,0.4500000000000003,0.4680319961160422,-1.8031996116041893
2020,16,HOU,50,0.72,0.6579842621088028,6.201573789119719
2020,16,IND,62,0.5483870967741932,0.6004635605119889,-5.207646373779573
2020,16,JAX,53,0.6981132075471698,0.6764280239366135,2.168518361055627
2020,16,KC,65,0.7230769230769233,0.6356750878003927,8.740183527653056
2020,16,LA,72,0.6805555555555557,0.6691103140927024,1.1445241462853306
2020,16,LAC,53,0.6792452830188678,0.6182200852430092,6.102519777585858
2020,16,LV,56,0.5892857142857145,0.5470081219183548,4.227759236735973
2020,16,MIA,59,0.6271186440677969,0.652952090663425,-2.583344659562803
2020,16,MIN,59,0.7118644067796611,0.6154005391112829,9.646386766837821
2020,16,NE,45,0.5111111111111111,0.6656264384587606,-15.45153273476495
2020,16,NO,70,0.39999999999999986,0.4836810315826109,-8.368103158261103
2020,16,NYG,53,0.7924528301886791,0.726646436835235,6.580639335344407
2020,16,NYJ,64,0.5625,0.5561493437271565,0.635065627284348
2020,16,PHI,68,0.6617647058823527,0.7038180087419117,-4.205330285955899
2020,16,PIT,61,0.8032786885245902,0.577567995327418,22.571069319717218
2020,16,SEA,54,0.6111111111111114,0.5924965706826361,1.8614540428475324
2020,16,SF,51,0.4313725490196077,0.5159677067661986,-8.459515774659094
2020,16,TB,67,0.641791044776119,0.49409099434738724,14.77000504287318
2020,16,TEN,53,0.5283018867924526,0.7317593682487056,-20.345748145625297
2020,16,WAS,66,0.7575757575757573,0.762350629676472,-0.47748721007147
2020,17,ARI,44,0.6136363636363638,0.7293534299189394,-11.57170662825756
2020,17,ATL,70,0.6285714285714289,0.6157858571835927,1.2785571387836203
2020,17,BAL,73,0.32876712328767155,0.5201150329451856,-19.134790965751403
2020,17,BUF,59,0.661016949152542,0.5280078442419989,13.300910491054319
2020,17,CAR,57,0.6666666666666667,0.6008449434711223,6.582172319554447
2020,17,CHI,73,0.602739726027397,0.6669022959389099,-6.416256991151292
2020,17,CIN,40,0.5249999999999998,0.7088973484933376,-18.389734849333784
2020,17,CLE,57,0.5438596491228072,0.561915020932231,-1.8055371809423848
