season,receiver_player_id,receiver_full_name,receiver_position,targets,ep_per_target
2021,00-0033881,Evan Engram,TE,73,1.5129630291852016
2021,00-0033885,David Njoku,TE,53,2.2575678445304357
2021,00-0033891,Zay Jones,WR,70,1.6863923708741952
2021,00-0033893,Dalvin Cook,RB,49,1.7307930378586633
2021,00-0033895,Gerald Everett,TE,63,1.6523960068589076
2021,00-0033897,Joe Mixon,RB,48,2.2145006114951684
2021,00-0033906,Alvin Kamara,RB,67,2.0590932668402178
2021,00-0033908,Cooper Kupp,WR,192,2.5024165220442374
2021,00-0033921,Chris Godwin,WR,127,2.2512450990366557
2021,00-0033932,Kenny Golladay,WR,77,1.88987728101394
2021,00-0033943,Josh Reynolds,WR,49,1.657312533109002
2021,00-0034011,Dan Arnold,TE,53,1.525109699718874
2021,00-0034270,Tyler Conklin,TE,87,2.088787931628758
2021,00-0034272,Marquez Valdes-Scantling,WR,56,1.750207843816885
2021,00-0034297,Byron Pringle,WR,60,2.2731132714989752
2021,00-0034301,Darrel Williams,RB,57,2.4251230237030286
2021,00-0034348,Courtland Sutton,WR,100,1.7389724279931376
2021,00-0034351,Dallas Goedert,TE,77,2.2652666349764887
2021,00-0034367,Nyheim Hines,RB,57,2.313610904699951
2021,00-0034383,Dalton Schultz,TE,106,2.126852156892845
2021,00-0034407,Ray-Ray McCloud,WR,66,2.0053736508041653
2021,00-0034411,Russell Gage,WR,94,1.7708472759054823
2021,00-0034418,Cedrick Wilson,WR,62,1.9132605441745008
2021,00-0034419,Braxton Berrios,WR,65,1.6158103442849374
2021,00-0034521,Allen Lazard,WR,60,2.0891650542112377
2021,00-0034676,James Washington,WR,44,2.193115379083214
2021,00-0034681,Chase Edmonds,RB,53,1.9693770608776864
2021,00-0034753,Mark Andrews,TE,158,2.060148801836841
2021,00-0034764,Michael Gallup,WR,62,2.050157826147399
2021,00-0034765,Tre'Quan Smith,WR,51,2.0631191574071863
2021,00-0034775,Christian Kirk,WR,103,1.9877691767511898
2021,00-0034798,Durham Smythe,TE,41,2.5239310616005506
2021,00-0034827,D.J. Moore,WR,164,1.7863380554173507
2021,00-0034829,Mike Gesicki,TE,113,1.8727361914907537
2021,00-0034837,Calvin Ridley,WR,52,1.9722909759685325
2021,00-0034844,Saquon Barkley,RB,57,1.940620282151238
2021,00-0034960,Jakobi Meyers,WR,128,1.953004884495611
2021,00-0034981,Foster Moreau,TE,44,2.118543946607546
2021,00-0034983,Hunter Renfrow,WR,129,2.218349279266038
2021,00-0035140,Mecole Hardman,WR,83,2.2081735370917728
2021,00-0035208,Olamide Zaccheaus,WR,54,2.0765673379961886
2021,00-0035215,Deonte Harris,WR,59,1.8157957703717669
2021,00-0035216,Diontae Johnson,WR,173,1.9470567135491872
