"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rec_attempt","rec_air_yards","rec_yards_gained","rec_yards_gained_exp","rec_touchdown","rec_touchdown_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","route_participation_proxy","team_rec_yds_exp","receiving_market_share"
"2020",2,"00-0034829","Mike Gesicki","TE","MIA",8,6.16,11,117,130,84.7,1,1.46,27,23.4,3.6,-0.46,6.16,91.33,0.927406109712033
"2020",2,"00-0035689","Dawson Knox","TE","BUF",1,2.14,3,32,36,34.32,0,0.05,2.6,5.89,-3.29,-0.05,2.14,35.69,0.961613897450266
"2020",2,"00-0036187","Reggie Gilliam","TE","BUF",1,0.63,1,1,1,1.37,1,0.63,7.1,4.57,2.53,0.37,0.63,35.69,0.0383861025497338
"2020",2,"00-0033896","Adam Shaheen","TE","MIA",1,1.31,2,2,4,6.63,0,0.53,1.4,5.13,-3.73,-0.53,1.31,91.33,0.0725938902879667
,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0031484","Chris Manhertz","TE","CAR",1,0.77,1,7,8,8.75,0,0,1.8,1.65,0.15,0,0.77,8.75,1
"2020",2,"00-0033879","O.J. Howard","TE","TB",1,2.18,3,23,11,26.23,0,0.07,2.1,5.2,-3.1,-0.07,2.18,36.14,0.725788599889319
"2020",2,"00-0027656","Rob Gronkowski","TE","TB",0,0.44,1,18,0,9.91,0,0.14,0,2.25,-2.25,-0.14,0.44,36.14,0.274211400110681
,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0032134","C.J. Uzomah","TE","CIN",4,3.81,6,48,42,35.47,1,0.69,14.2,11.51,2.69,0.31,3.81,80.8,0.438985148514851
"2020",2,"00-0032392","Austin Hooper","TE","CLE",2,2.91,4,15,22,23.63,0,0.66,4.2,9.2,-5,-0.66,2.91,43.13,0.547878506839787
"2020",2,"00-0035631","Drew Sample","TE","CIN",7,5.98,9,39,45,45.33,0,0.5,11.5,13.54,-2.04,-0.5,5.98,80.8,0.561014851485149
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0036232","Harrison Bryant","TE","CLE",1,1.27,2,27,14,19.5,0,0.48,2.4,6.1,-3.7,-0.48,1.27,43.13,0.452121493160213
"2020",2,"00-0032394","Nick Vannett","TE","DEN",0,1.21,2,25,0,15.91,0,0.03,0,2.95,-2.95,-0.03,1.21,44.21,0.359873331825379
