season,week,posteam,implied_total,total_line,vegas_wp
2021,1,BAL,26.75,50.5,0.725164163755835
2021,1,BUF,20.75,48,0.6530160051157795
2021,1,CAR,20.5,44.5,0.8289405203634692
2021,1,CHI,18.25,46,0.06394271407991642
2021,1,CIN,25,47,0.5624025162842516
2021,1,CLE,24.5,54.5,0.5036668637329882
2021,1,DAL,21.25,52.5,0.21618773582342424
2021,1,DEN,22.25,41.5,0.725629988592118
2021,1,DET,27.75,46,0.06810730859533397
2021,1,GB,26.5,49,0.1895663122774567
2021,1,HOU,24.5,45.5,0.7658599659397796
2021,1,IND,26,49,0.16228889974525904
2021,1,JAX,24.5,45.5,0.16305860251956278
2021,1,KC,24.5,54.5,0.4728002080722401
2021,1,LA,18.25,46,0.950091695298954
2021,1,LAC,21.5,45.5,0.5978124129929041
2021,1,LV,26.75,50.5,0.3069697547516507
2021,1,MIA,20,43.5,0.5662787526845932
2021,1,MIN,25,47,0.3878532299050776
2021,1,NE,20,43.5,0.4809309879074926
2021,1,NO,26.5,49,0.7104444359739621
2021,1,NYG,22.25,41.5,0.16186139697942728
2021,1,NYJ,20.5,44.5,0.1886823710405401
2021,1,PHI,22.75,49,0.7158686334058197
2021,1,PIT,20.75,48,0.3586320423011509
2021,1,SEA,26,49,0.8292501616477966
2021,1,SF,27.75,46,0.9498944028660103
2021,1,TB,21.25,52.5,0.7725076954811811
2021,1,TEN,25.75,54,0.14720478114244984
2021,1,WAS,21.5,45.5,0.5068415738642216
2021,2,ARI,23.5,51,0.5000338138718354
2021,2,ATL,19.25,52,0.055621127372810046
2021,2,BAL,28.5,53.5,0.28520937796584944
2021,2,BUF,25.75,48,0.9489824781342159
2021,2,CAR,24,45,0.7811464591765068
2021,2,CHI,21.25,44.5,0.7834236025810242
2021,2,CIN,21.25,44.5,0.2207316210214049
2021,2,CLE,17.5,48.5,0.8353617494756526
2021,2,DAL,26,55,0.5468429923057556
2021,2,DEN,25.5,45,0.8073563007637858
2021,2,DET,19,49.5,0.16130260105763392
2021,2,GB,19,49.5,0.8332390374150769
2021,2,HOU,17.5,48.5,0.12876415187329576
2021,2,IND,26,48,0.257159043574144
2021,2,JAX,25.5,45,0.23671393376439806
2021,2,KC,28.5,53.5,0.7570911731038775
2021,2,LA,26,48,0.7565495205127587
2021,2,LAC,26,55,0.49040775083616134
2021,2,LV,20.5,46.5,0.6083892934745359
2021,2,MIA,25.75,48,0.06581105024270073
2021,2,MIN,23.5,51,0.4849709787611234
2021,2,NE,24.25,43,0.8763688416392715
2021,2,NO,24,45,0.17173243494583476
2021,2,NYG,19,42,0.5087035929163297
2021,2,NYJ,24.25,43,0.08998714285769438
2021,2,PHI,26,49,0.38792824954994853
2021,2,PIT,20.5,46.5,0.4252986182734646
2021,2,SEA,23.5,53.5,0.7805852731879876
2021,2,SF,26,49,0.6936614364385605
2021,2,TB,19.25,52,0.9363770275785211
2021,2,TEN,23.5,53.5,0.2332287828736298
2021,2,WAS,19,42,0.477265047676423
2021,3,ARI,29.75,51.5,0.7538513457402587
2021,3,ATL,22.5,48,0.3918973699744258
2021,3,BAL,29.25,51,0.8201412013116872
