season,posteam,games,team_pass_attempts,team_carries,team_rec_yds_exp,team_rec_td_exp,team_rush_td_exp,pass_attempts_pg,carries_pg
2021,JAX,17,604,392,4324.870000000001,21.96,12.780000000000003,35.529411764705884,23.058823529411764
2021,KC,17,675,431,5268.92,39.86,17.97,39.705882352941174,25.352941176470587
2021,LA,17,607,420,4835.5199999999995,42.89000000000001,15.18,35.705882352941174,24.705882352941178
2021,LAC,17,674,423,5012.17,41.099999999999994,18.18,39.64705882352941,24.88235294117647
2021,LV,17,628,414,4834.49,28.979999999999997,14.04,36.94117647058823,24.352941176470587
2021,MIA,17,615,442,4384.419999999999,27.340000000000003,17.28,36.1764705882353,26
2021,MIN,17,604,449,4719.56,30.199999999999996,13.870000000000001,35.529411764705884,26.41176470588235
2021,NE,17,535,489,4036.4799999999996,25.129999999999995,18.589999999999996,31.470588235294116,28.764705882352942
2021,NO,17,504,510,3535.91,24.94,13.83,29.647058823529413,30
2021,NYG,17,593,419,4137.239999999999,21.640000000000004,9.879999999999999,34.88235294117647,24.647058823529413
2021,NYJ,17,603,380,4232.17,20.380000000000003,17.740000000000006,35.470588235294116,22.352941176470587
2021,PHI,17,494,550,3618.21,25.700000000000003,27.54,29.058823529411764,32.35294117647059
2021,PIT,17,664,411,4407.029999999999,29.840000000000003,11.190000000000001,39.05882352941177,24.176470588235293
2021,SEA,17,495,413,3741.46,25.869999999999997,12.600000000000001,29.11764705882353,24.294117647058822
2021,SF,17,514,499,4003.6500000000005,24.24,14.399999999999999,30.235294117647058,29.352941176470587
2021,TB,17,731,385,5908.359999999999,47.099999999999994,16.55,43,22.647058823529413
2021,TEN,17,535,551,4041.88,29.769999999999996,17.98,31.470588235294116,32.411764705882355
2021,WAS,17,550,477,3879.3199999999997,22.319999999999997,17.75,32.35294117647059,28.058823529411764
2022,ARI,17,664,434,4645.96,23.429999999999996,12.919999999999998,39.05882352941177,25.529411764705884
2022,ATL,17,415,559,3171.63,19.84,19.27,24.41176470588235,32.88235294117647
2022,BAL,17,488,526,3513.6299999999997,27.07,17.08,28.705882352941178,30.941176470588236
2022,BUF,16,574,430,4552.53,36.97,15.430000000000001,35.875,26.875
