season,posteam,games,outdoor_share,mean_wind,mean_temp,harsh_share
2023,NO,3,0.3770491803278688,6.868852459016392,62.26229508196721,0
2023,NYG,3,0.6914285714285714,7.697142857142857,50.23428571428572,0
2023,NYJ,3,1,6.5050000000000034,53.25500000000001,0.245
2023,PHI,3,1,4.8994708994709,47.682539682539684,0
2023,PIT,3,0.7175141242937854,5.451977401129945,51.316384180790955,0
2023,SEA,3,1,3.291925465838509,51.515527950310556,0
2023,SF,3,1,7.637837837837838,54.27027027027028,0
2023,TB,3,1,8.377142857142857,60.89142857142858,0
2023,TEN,3,0.7080745341614907,6.906832298136645,56.186335403726716,0
2023,WAS,3,0.6346153846153846,5.538461538461538,51.28846153846153,0
2024,ARI,3,0.3128205128205128,8.625641025641025,52.80512820512821,0
2024,ATL,3,0.327683615819209,8.655367231638419,59.344632768361585,0
2024,BAL,3,0.6610169491525424,9.779661016949154,43.79096045197739,0.3446327683615819
2024,BUF,3,0.6363636363636364,8.491978609625665,43.98930481283422,0.6363636363636364
2024,CAR,3,1,8.544217687074829,50.27210884353742,0
2024,CHI,3,0.6352941176470588,6.76470588235294,45.70588235294118,0.3352941176470588
2024,CIN,3,1,8.770833333333334,50.0625,0
2024,CLE,3,1,13.101063829787234,43.425531914893625,0.6914893617021277
2024,DAL,3,0.6994535519125683,8.267759562841528,54.98907103825136,0
2024,DEN,3,0.659217877094972,10.346368715083798,58.324022346368714,0.33519553072625696
2024,DET,3,0.6407766990291263,7.689320388349515,50.368932038834956,0.3106796116504854
2024,GB,3,0.7027027027027027,7.843243243243241,44.697297297297304,0
2024,HOU,3,0.3708609271523179,6.887417218543046,48.87417218543047,0.3708609271523179
2024,IND,3,0.6995073891625616,7.576354679802955,56.14778325123153,0.3448275862068966
2024,JAX,3,0.6858638743455497,10.303664921465964,63.455497382198956,0.2879581151832461
2024,KC,3,1,8.93103448275862,36.310344827586206,0.7093596059113301
2024,LA,3,0.6804733727810651,6.461538461538462,46.360946745562124,0.2958579881656805
2024,LAC,3,0.4207650273224044,6.3169398907103815,51.584699453551906,0
2024,LV,3,0,8,60,0
2024,MIA,3,0.6647727272727273,11.5625,62.92045454545454,0.30113636363636365
2024,MIN,3,0.29949238578680204,7.101522842639595,56.40609137055837,0
2024,NE,3,0.7006369426751592,4.356687898089172,35.05732484076433,0.42038216560509556
2024,NO,3,0.33783783783783783,9.35135135135135,51.21621621621621,0
2024,NYG,3,0.6790123456790124,4.679012345679013,49.59259259259259,0
2024,NYJ,3,1,10.25146198830409,44.654970760233915,0.6842105263157895
2024,PHI,3,1,7.504950495049507,42.89108910891089,0.3316831683168317
2024,PIT,3,1,7.231707317073172,37.13414634146341,0.3475609756097561
2024,SEA,3,1,4.367741935483871,46.10967741935484,0
2024,SF,3,1,8.192771084337348,62.433734939759034,0
2024,TB,3,0.35294117647058826,8,65.64705882352942,0
2024,TEN,3,0.6830601092896175,12.065573770491806,61.202185792349724,0.3333333333333333
