"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rush_attempt","rec_attempt","rush_yards_gained","rush_yards_gained_exp","rush_touchdown","rush_touchdown_exp","rec_touchdown","rec_touchdown_exp","rec_yards_gained","rec_yards_gained_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","expected_td_equity","team_rush_att","backfield_command","target_volume"
"2024",12,"00-0037617","Hassan Haskins","RB","LAC",0,0,1,0,3,4.64,0,0,0,0,0,0,0.3,0.47,-0.17,0,0,16,0.0625,0
"2024",12,"00-0033045","Ezekiel Elliott","RB","DAL",0,0,3,0,6,12.3,0,0,0,0,0,0,0.6,1.26,-0.66,0,0,22,0.136363636363636,0
"2024",12,"00-0033955","Jeremy McNichols","RB","WAS",0,0,3,0,22,14.34,0,0.19,0,0,0,0,2.2,2.57,-0.37,-0.19,0.19,17,0.176470588235294,0
"2024",12,"00-0037509","Sincere McCormick","RB","LV",0,0,5,0,33,20.57,0,0.01,0,0,0,0,3.3,2.11,1.19,-0.01,0.01,13,0.384615384615385,0
"2024",12,"00-0039373","Audric Estimé","RB","DEN",0,0,3,0,15,11.12,0,0.01,0,0,0,0,1.5,1.2,0.3,-0.01,0.01,19,0.157894736842105,0
"2024",12,"00-0036223","Jonathan Taylor","RB","IND",0,0,11,0,35,51.08,0,0.4,0,0,0,0,3.5,7.5,-4,-0.4,0.4,11,1,0
"2024",12,"00-0035567","Craig Reynolds","RB","DET",0,0,1,0,6,3.02,0,0.01,0,0,0,0,0.6,0.35,0.25,-0.01,0.01,30,0.0333333333333333,0
"2024",12,"00-0039344","Jonathon Brooks","RB","CAR",0,0,2,0,7,9.63,0,0,0,0,0,0,0.7,0.99,-0.29,0,0,18,0.111111111111111,0
"2024",12,"00-0037840","Kyren Williams","RB","LA",0,0,16,0,72,64.27,1,1.01,0,0,0,0,11.2,12.47,-1.27,-0.01,1.01,17,0.941176470588235,0
"2024",12,"00-0036919","Kenneth Gainwell","RB","PHI",0,0,5,0,22,22.13,1,0.11,0,0,0,0,8.2,2.86,5.34,0.89,0.11,31,0.161290322580645,0
"2024",12,"00-0039738","Blake Corum","RB","LA",0,0,1,0,5,4.6,0,0,0,0,0,0,0.5,0.47,0.03,0,0,17,0.0588235294117647,0
"2024",12,"00-0038797","Emanuel Wilson","RB","GB",0,0,9,0,41,35.04,0,0.24,0,0,0,0,4.1,4.97,-0.87,-0.24,0.24,39,0.230769230769231,0
"2024",13,"00-0039921","Trey Benson","RB","ARI",0,0,3,0,20,13.13,0,0.02,0,0,0,0,2,1.45,0.55,-0.02,0.02,23,0.130434782608696,0
"2024",13,"00-0036414","Cam Akers","RB","MIN",0,0,4,0,22,18.82,0,0.01,0,0,0,0,2.2,1.93,0.27,-0.01,0.01,11,0.363636363636364,0
"2024",13,"00-0037276","Ty Chandler","RB","MIN",0,0,2,0,2,6.55,0,0,0,0,0,0,0.2,0.68,-0.48,0,0,11,0.181818181818182,0
"2024",13,"00-0039373","Audric Estimé","RB","DEN",0,0,3,0,12,13.45,0,0.04,0,0,0,0,1.2,1.59,-0.39,-0.04,0.04,22,0.136363636363636,0
"2024",13,"00-0031595","Michael Burton","RB","DEN",0,0,1,0,1,0.42,1,0.51,0,0,0,0,6.1,3.1,3,0.49,0.51,22,0.0454545454545455,0
"2024",13,"00-0036328","Antonio Gibson","RB","NE",0,0,7,0,62,29.93,1,0.25,0,0,0,0,12.2,4.47,7.73,0.75,0.25,25,0.28,0
"2024",13,"00-0037617","Hassan Haskins","RB","LAC",0,0,1,0,0,2.97,0,0,0,0,0,0,-2,0.31,-2.31,0,0,11,0.0909090909090909,0
"2024",13,"00-0039391","Kimani Vidal","RB","LAC",0,0,4,0,20,18.02,0,0.03,0,0,0,0,2,1.96,0.04,-0.03,0.03,11,0.363636363636364,0
"2024",13,"00-0039738","Blake Corum","RB","LA",0,0,8,0,42,34.91,0,0.02,0,0,0,0,4.2,3.63,0.57,-0.02,0.02,23,0.347826086956522,0
"2024",13,"00-0038797","Emanuel Wilson","RB","GB",0,0,2,0,20,11.16,0,0.1,0,0,0,0,2,1.72,0.28,-0.1,0.1,24,0.0833333333333333,0
"2024",13,"00-0033045","Ezekiel Elliott","RB","DAL",0,0,1,0,4,2.76,0,0,0,0,0,0,0.4,0.29,0.11,0,0,26,0.0384615384615385,0
"2024",13,"00-0038738","Hunter Luepke","RB","DAL",0,0,3,0,4,12.74,0,0.12,0,0,0,0,0.4,2,-1.6,-0.12,0.12,26,0.115384615384615,0
"2024",13,"00-0039746","Will Shipley","RB","PHI",0,0,1,0,4,4.85,0,0,0,0,0,0,0.4,0.5,-0.1,0,0,24,0.0416666666666667,0
"2024",13,"00-0036906","Khalil Herbert","RB","CIN",0,0,1,0,14,4.92,0,0,0,0,0,0,1.4,0.52,0.88,0,0,13,0.0769230769230769,0
"2024",13,"00-0037525","Jordan Mason","RB","SF",0,0,13,0,78,60.31,0,0.11,0,0,0,0,7.8,6.66,1.14,-0.11,0.11,25,0.52,0
"2024",13,"00-0029892","Kyle Juszczyk","RB","SF",0,0,1,0,-1,1.72,0,0.28,0,0,0,0,-2.1,1.87,-3.97,-0.28,0.28,25,0.04,0
"2024",13,"00-0036555","Chuba Hubbard","RB","CAR",0,0,12,0,43,55.13,0,0.06,0,0,0,0,2.3,5.87,-3.57,-0.06,0.06,18,0.666666666666667,0
"2024",13,"00-0033955","Jeremy McNichols","RB","WAS",0,0,6,0,32,27.89,0,0.17,0,0,0,0,3.2,3.83,-0.63,-0.17,0.17,35,0.171428571428571,0
"2024",13,"00-0039032","Tyjae Spears","RB","TEN",0,0,1,0,3,4.59,0,0.02,0,0,0,0,0.3,0.56,-0.26,-0.02,0.02,9,0.111111111111111,0
