season,player_id,full_name,position,posteam,kind,opportunities,neutral_opps,neutral_share,early_down_share,mean_wp
2020,00-0036357,Henry Ruggs,WR,LV,target,43,30,0.6976744186046512,0.6976744186046512,0.4823198418977649
2020,00-0036358,CeeDee Lamb,WR,DAL,target,111,60,0.5405405405405406,0.6216216216216216,0.3392741756294715
2020,00-0036360,Clyde Edwards-Helaire,RB,KC,carry,181,94,0.5193370165745856,0.9502762430939227,0.8182712010376784
2020,00-0036360,Clyde Edwards-Helaire,RB,KC,target,54,30,0.5555555555555556,0.8888888888888888,0.7454065039680615
2020,00-0036370,Joshua Kelley,RB,LAC,carry,111,59,0.5315315315315315,0.8468468468468469,0.5319173688421378
2020,00-0036387,Jalen Reagor,WR,PHI,target,55,26,0.4727272727272727,0.6727272727272727,0.3501562737894796
2020,00-0036407,Jerry Jeudy,WR,DEN,target,115,50,0.43478260869565216,0.6434782608695652,0.24343033409944717
2020,00-0036410,Tee Higgins,WR,CIN,target,108,53,0.49074074074074076,0.7592592592592593,0.2970447682450025
2020,00-0036412,K.J. Hamler,WR,DEN,target,56,16,0.2857142857142857,0.6607142857142857,0.18353482677090527
2020,00-0036414,Cam Akers,RB,LA,carry,145,68,0.4689655172413793,0.9103448275862069,0.70503893796483
2021,00-0027061,Jared Cook,TE,LAC,target,85,43,0.5058823529411764,0.6235294117647059,0.5276728709492667
2021,00-0027656,Rob Gronkowski,TE,TB,target,89,56,0.6292134831460674,0.7865168539325843,0.6696363975911328
2021,00-0027685,Emmanuel Sanders,WR,BUF,target,73,37,0.5068493150684932,0.7534246575342466,0.7474594291089843
2021,00-0027793,NA,NA,TB,target,62,40,0.6451612903225806,0.7096774193548387,0.8363093142547915
