"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rec_attempt","rec_air_yards","rec_yards_gained","rec_yards_gained_exp","rec_touchdown","rec_touchdown_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","tprr_proxy","yprr_proxy","team_targets","first_read_share","team_rec_exp","vacated_targets"
"2020",3,"00-0035414","Jalen Guyton","WR","LAC",2,1.58,3,60,23,28.11,0,0.09,4.3,4.93,-0.63,-0.09,1.89873417721519,17.7911392405063,27,0.111111111111111,17.16,15.58
,,,,,,,,,,,,,,,,,,,,,,,
"2020",3,"00-0036382","K.J. Hill","WR","LAC",1,2.69,4,28,15,25.46,0,0.08,2.5,5.7,-3.2,-0.08,1.48698884758364,9.46468401486989,27,0.148148148148148,17.16,14.47
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"2020",3,"00-0031428","Allen Robinson","WR","CHI",10,8.62,13,106,123,94.01,1,0.3,28.3,19.81,8.49,0.7,1.50812064965197,10.9060324825986,24,0.541666666666667,13.77,5.15
"2020",3,"00-0034837","Calvin Ridley","WR","ATL",5,7.09,13,249,110,144.14,0,1.26,16.7,29.94,-13.24,-1.29,1.83356840620592,20.3300423131171,26,0.5,15.18,8.09
"2020",3,"00-0034353","Anthony Miller","WR","CHI",2,2.26,5,103,41,39.69,1,0.59,13,10.51,2.49,0.4,2.21238938053097,17.5619469026549,24,0.208333333333333,13.77,11.51
"2020",3,"00-0034411","Russell Gage","WR","ATL",2,2.12,3,24,26,25.14,0,0.08,4.6,5.13,-0.53,-0.08,1.41509433962264,11.8584905660377,26,0.115384615384615,15.18,13.06
"2020",3,"00-0035208","Olamide Zaccheaus","WR","ATL",4,3.6,6,104,41,60.33,0,0.1,8.1,10.21,-2.11,-0.1,1.66666666666667,16.7583333333333,26,0.230769230769231,15.18,11.58
"2020",3,"00-0036309","Darnell Mooney","WR","CHI",2,2.47,5,77,19,43.73,0,0.03,3.9,7.04,-3.14,-0.03,2.02429149797571,17.7044534412955,24,0.208333333333333,13.77,11.3
"2020",3,"00-0034646","Brandon Powell","WR","ATL",3,2.37,4,33,27,25.87,0,0.35,5.7,7.08,-1.38,-0.35,1.68776371308017,10.915611814346,26,0.153846153846154,15.18,12.81
,,,,,,,,,,,,,,,,,,,,,,,
"2020",3,"00-0034426","Javon Wims","WR","CHI",0,0.42,1,21,0,9.96,0,0.08,0,1.87,-1.87,-0.08,2.38095238095238,23.7142857142857,24,0.0416666666666667,13.77,13.35
"2020",3,"00-0036410","Tee Higgins","WR","CIN",5,4.51,9,145,40,70.59,2,1.1,21,18.2,2.8,0.9,1.99556541019956,15.6518847006652,34,0.264705882352941,19.96,15.45
"2020",3,"00-0033114","Mike Thomas","WR","CIN",2,1.58,2,2,9,9.61,0,0.01,2.9,2.57,0.33,-0.01,1.26582278481013,6.08227848101266,34,0.0588235294117647,19.96,18.38
"2020",3,"00-0026189","DeSean Jackson","WR","PHI",2,2.68,4,64,11,41.17,0,0.07,3.1,7.22,-4.12,-0.07,1.49253731343284,15.3619402985075,22,0.181818181818182,15.95,13.27
"2020",3,"00-0033009","Tyler Boyd","WR","CIN",10,8.03,13,137,125,112.07,0,0.09,22.5,19.8,2.7,-0.09,1.61892901618929,13.9564134495641,34,0.382352941176471,19.96,11.93
"2020",3,"00-0027942","A.J. Green","WR","CIN",5,3.84,6,45,36,48.26,0,0.03,8.6,8.84,-0.24,-0.03,1.5625,12.5677083333333,34,0.176470588235294,19.96,16.12
