season,receiver_player_id,receiver_full_name,receiver_position,posteam,targets,adot,deep_share,rz_targets,ez_targets,catchable
2020,00-0035243,Miles Sanders,RB,PHI,52,1.8269230769230755,0.057692307692307696,1,0,0.7442762066538517
2020,00-0035250,Devin Singletary,RB,BUF,59,0.9830508474576274,0.03389830508474576,9,0,0.769835361989878
2020,00-0035261,Tony Pollard,RB,DAL,40,-0.3499999999999997,0,8,2,0.8025842994451523
2020,00-0035287,KeeSean Johnson,WR,ARI,23,10.869565217391305,0.17391304347826086,2,2,0.6674220963664677
2020,00-0035298,Scott Miller,WR,TB,59,15.508474576271187,0.3559322033898305,5,0,0.5918030077117985
2020,00-0035311,Myles Gaskin,RB,MIA,47,0.21276595744680854,0.02127659574468085,7,4,0.7718952672278627
2020,00-0035329,Donald Parham,TE,LAC,20,8.75,0.05,7,4,0.6049232706427574
2020,00-0035350,Preston Williams,WR,MIA,37,13.837837837837839,0.2702702702702703,8,7,0.5632960425840842
2020,00-0035414,Jalen Guyton,WR,LAC,55,16.27272727272727,0.32727272727272727,7,2,0.5683369232849641
2020,00-0035457,Tyron Johnson,WR,LAC,26,20.538461538461537,0.4230769230769231,1,0,0.5531651635582631
2020,00-0035510,Jeff Smith,WR,NYJ,37,12.64864864864865,0.24324324324324326,2,2,0.574075567963961
2020,00-0035527,Andy Isabella,WR,ARI,35,11.257142857142858,0.22857142857142856,3,1,0.647409793308803
2020,00-0035535,Darius Slayton,WR,NYG,96,13.572916666666668,0.1875,10,6,0.5794791057705879
2020,00-0035537,Ty Johnson,RB,NYJ,20,0.15000000000000005,0.05,1,0,0.7454333364963531
2020,00-0035592,Travis Fulgham,WR,PHI,67,11.985074626865671,0.1044776119402985,10,3,0.5473818336404971
2020,00-0035624,N'Keal Harry,WR,NE,57,8.017543859649123,0.07017543859649122,10,5,0.6765173678858238
2020,00-0035631,Drew Sample,TE,CIN,53,4.188679245283019,0,11,5,0.7211707493044296
2020,00-0035640,DK Metcalf,WR,SEA,140,14.02857142857143,0.2357142857142857,17,10,0.5981216859604631
2020,00-0035644,Noah Fant,TE,DEN,94,6.680851063829786,0.07446808510638298,13,5,0.6752847956216081
2020,00-0035659,Terry McLaurin,WR,WAS,142,9.669014084507044,0.14084507042253522,14,5,0.6529816967290891
2020,00-0035662,Marquise Brown,WR,BAL,116,13.39655172413793,0.27586206896551724,12,7,0.5996603961905529
2020,00-0035664,Darrell Henderson,RB,LA,24,0.6666666666666663,0.08333333333333333,4,1,0.75618242037793
2020,00-0035676,A.J. Brown,WR,TEN,116,10.939655172413794,0.1206896551724138,14,10,0.6337278914348833
2020,00-0035685,David Montgomery,RB,CHI,69,0.9855072463768115,0.014492753623188406,12,4,0.7662540371867194
2020,00-0035689,Dawson Knox,TE,BUF,57,7.035087719298245,0.08771929824561403,16,9,0.6903462232204906
2020,00-0035700,Josh Jacobs,RB,LV,45,0.7333333333333333,0,3,1,0.7976321929030948
2020,00-0035703,Miles Boykin,WR,BAL,38,11.5,0.15789473684210525,6,4,0.6067602183473737
2020,00-0035719,Deebo Samuel,WR,SF,44,2.2045454545454546,0.022727272727272728,2,1,0.7827370918609879
2020,00-0035831,James Robinson,RB,JAX,62,-0.7258064516129032,0,8,5,0.7999162851802765
2020,00-0036142,Isaiah Wright,WR,WAS,36,4.194444444444445,0.05555555555555555,4,2,0.7497510098748736
2020,00-0036158,J.K. Dobbins,RB,BAL,31,1.1935483870967742,0,3,3,0.7674793899059296
2020,00-0036196,Gabriel Davis,WR,BUF,73,15.301369863013699,0.2465753424657534,16,8,0.5691435522820851
2020,00-0036219,Marquez Callaway,WR,NO,29,7.793103448275862,0.06896551724137931,4,1,0.7053447006077602
2020,00-0036223,Jonathan Taylor,RB,IND,43,-1.3720930232558135,0,7,0,0.8059978471245877
2020,00-0036232,Harrison Bryant,TE,CLE,39,7.846153846153846,0.10256410256410256,5,4,0.6722477949582614
2020,00-0036233,Donovan Peoples-Jones,WR,CLE,24,16,0.2916666666666667,2,1,0.5668615630517403
2020,00-0036247,Freddie Swain,WR,SEA,22,11.5,0.22727272727272727,4,1,0.6029216863892295
2020,00-0036251,Zack Moss,RB,BUF,22,1.8181818181818181,0,3,3,0.7333810803565112
2020,00-0036252,Michael Pittman,WR,IND,71,8.112676056338028,0.09859154929577464,12,3,0.7161137990548577
2020,00-0036254,Collin Johnson,WR,JAX,33,11.484848484848484,0.12121212121212122,7,6,0.592485864054073
2020,00-0036255,Denzel Mims,WR,NYJ,45,15.02222222222222,0.28888888888888886,5,2,0.5465893871254391
2020,00-0036261,Brandon Aiyuk,WR,SF,96,9.395833333333332,0.125,14,10,0.6636917667152982
2020,00-0036268,Laviska Shenault,WR,JAX,79,6.2405063291139244,0.05063291139240506,10,3,0.7060008201795288
2020,00-0036275,D'Andre Swift,RB,DET,57,0.8771929824561415,0,9,3,0.7756633834357847
2020,00-0036277,Quintez Cephus,WR,DET,36,14.194444444444446,0.19444444444444445,5,4,0.6101178299221728
2020,00-0036290,Cole Kmet,TE,CHI,49,5.938775510204081,0.08163265306122448,8,7,0.7035880824741052
2020,00-0036309,Darnell Mooney,WR,CHI,99,11.414141414141412,0.23232323232323232,11,6,0.6129072549367192
2020,00-0036322,Justin Jefferson,WR,MIN,128,11.2109375,0.171875,15,11,0.645721593988128
2020,00-0036326,Chase Claypool,WR,PIT,119,12.731092436974789,0.2605042016806723,19,13,0.5759801525278252
2020,00-0036328,Antonio Gibson,RB,WAS,47,-0.7659574468085109,0,3,1,0.7969882266318544
2020,00-0036331,Devin Duvernay,WR,BAL,26,6.192307692307692,0.07692307692307693,2,1,0.7312206327915192
2020,00-0036357,Henry Ruggs,WR,LV,43,17.3953488372093,0.32558139534883723,2,2,0.5989719161460566
