season,player_id,full_name,position,opps_rec,opps_rush,ep_total_rec,ep_total_rush,ep_per_opp_rec,ep_per_opp_rush
2023,00-0037197,Isiah Pacheco,RB,49,206,109.3590297026094,536.1959948547445,2.231816932706314,2.602893178906527
2023,00-0037228,Jaylen Warren,RB,74,149,113.78116364302696,360.9699942084844,1.5375832924733372,2.4226174107951977
2023,00-0037238,Drake London,WR,112,NA,198.28382456616941,NA,1.7703912907693697,NA
2023,00-0037239,Chris Olave,WR,139,NA,276.75261417504214,NA,1.9910260012592957,NA
2023,00-0037240,Jameson Williams,WR,42,NA,92.21484925638651,NA,2.195591648961584,NA
2023,00-0037247,George Pickens,WR,106,NA,170.7250109774468,NA,1.6106133111079886,NA
2023,00-0037248,James Cook,RB,54,237,128.96676153774024,593.4558506018075,2.3882733618100045,2.5040331249021412
2023,00-0037256,Rachaad White,RB,70,272,125.69228742379346,607.9285247793596,1.7956041060541923,2.235031341100586
2023,00-0037258,Dameon Pierce,RB,NA,145,NA,348.25056088218116,NA,2.401728006084008
2023,00-0037261,Khalil Shakir,WR,46,NA,87.9630802747705,NA,1.912240875538489,NA
2023,00-0037263,Tyler Allgeier,RB,NA,187,NA,529.6618450622044,NA,2.8324162837551037
2023,00-0037267,Jerome Ford,RB,63,206,108.40166700881673,409.1709826903823,1.720661381092329,1.9862669062639915
2023,00-0037276,Ty Chandler,RB,NA,102,NA,227.1318439359311,NA,2.2267827836855987
2023,00-0037525,Jordan Mason,RB,NA,40,NA,104.6347581097798,NA,2.6158689527444947
2023,00-0037545,Rashid Shaheed,WR,75,NA,158.11943161580712,NA,2.1082590882107617,NA
2023,00-0037664,Alec Pierce,WR,65,NA,111.91777826426551,NA,1.7218119732963924,NA
2023,00-0037740,Garrett Wilson,WR,168,NA,291.75900432054186,NA,1.7366607400032255,NA
2023,00-0037741,Jahan Dotson,WR,83,NA,173.72218085400527,NA,2.0930383235422325,NA
2023,00-0037744,Trey McBride,TE,106,NA,188.8242271738418,NA,1.7813606337154888,NA
2023,00-0037746,Brian Robinson,RB,43,179,88.10304472525604,390.9228363926376,2.0489080168664193,2.183926460294065
2023,00-0037809,Chigoziem Okonkwo,TE,77,NA,124.02711571211694,NA,1.610741762495025,NA
2023,00-0037816,Romeo Doubs,WR,96,NA,184.59551528806332,NA,1.9228699509173262,NA
2023,00-0037838,Isaiah Likely,TE,40,NA,80.31872960267356,NA,2.007968240066839,NA
2023,00-0037840,Kyren Williams,RB,48,229,128.62547019289923,646.5015217651525,2.6796972956854006,2.8231507500661683
2023,00-0038040,Zamir White,RB,NA,104,NA,236.14202667609788,NA,2.270596410347095
2023,00-0038041,Jake Ferguson,TE,102,NA,238.82846199724008,NA,2.3414555097768632,NA
2023,00-0038098,Pierre Strong,RB,NA,64,NA,135.5009666127297,NA,2.1172026033239018
2023,00-0038102,Kenny Pickett,QB,NA,42,NA,63.166705644194735,NA,1.5039691820046366
2023,00-0038117,Wan'Dale Robinson,WR,78,NA,126.28824580402579,NA,1.6190800744105873,NA
2023,00-0038120,Breece Hall,RB,95,224,148.33573753433302,476.40919064539764,1.5614288161508738,2.126826743952668
2023,00-0038122,Desmond Ridder,QB,NA,53,NA,124.92442282199045,NA,2.3570645815469895
2023,00-0038124,Christian Watson,WR,53,NA,120.74358073662734,NA,2.2781807686156106,NA
2023,00-0038129,Cade Otton,TE,67,NA,145.19808178948006,NA,2.1671355490967175,NA
2023,00-0038134,Kenneth Walker,RB,NA,219,NA,554.9876395845495,NA,2.534190135089266
2023,00-0038393,Dontayvion Wicks,WR,58,NA,113.23830047689262,NA,1.9523844909809074,NA
2023,00-0038454,Keaton Mitchell,RB,NA,47,NA,114.85791467560921,NA,2.443785418629983
2023,00-0038542,Bijan Robinson,RB,86,214,157.30980077607092,468.95876219833735,1.8291837299543132,2.191396085038959
2023,00-0038543,Jaxon Smith-Njigba,WR,93,NA,150.6892513493367,NA,1.620314530638029,NA
2023,00-0038544,Quentin Johnston,WR,67,NA,124.16494347137632,NA,1.8532081115130794,NA
2023,00-0038551,Kendre Miller,RB,NA,41,NA,92.09917110216338,NA,2.2463212463942286
2023,00-0038555,Tank Bigsby,RB,NA,50,NA,132.0242656080809,NA,2.640485312161618
2023,00-0038559,Michael Wilson,WR,58,NA,110.34460612526163,NA,1.902493209056235,NA
2023,00-0038597,Chase Brown,RB,NA,44,NA,81.39128938314389,NA,1.8498020314350885
2023,00-0038611,Chris Rodriguez,RB,NA,51,NA,115.3220081391919,NA,2.261215845866508
2023,00-0038621,Demario Douglas,WR,79,NA,136.19280575792072,NA,1.7239595665559586,NA
2023,00-0038705,Emari Demercado,RB,NA,58,NA,114.2515149639803,NA,1.9698537062755226
2023,00-0038794,Jaleel McLaughlin,RB,NA,76,NA,154.38221312715905,NA,2.0313449095678826
2023,00-0038933,Dalton Kincaid,TE,91,NA,181.8689679914096,NA,1.998560087817688,NA
2023,00-0038938,Jalin Hyatt,WR,40,NA,56.80389179987833,NA,1.4200972949969581,NA
2023,00-0038977,Tank Dell,WR,76,NA,148.5559649083733,NA,1.9546837487943856,NA
2023,00-0038979,Cedric Tillman,WR,44,NA,74.77305255021201,NA,1.699387557959364,NA
2023,00-0038994,Jordan Addison,WR,108,NA,224.88201207231032,NA,2.082240852521392,NA
2023,00-0038996,Tucker Kraft,TE,40,NA,103.92890239349799,NA,2.59822255983745,NA
2023,00-0038997,Josh Downs,WR,98,NA,164.20776220975677,NA,1.6755894103036404,NA
2023,00-0039021,Roschon Johnson,RB,40,81,68.56178774137516,185.19108753991895,1.714044693534379,2.286309722715049
2023,00-0039032,Tyjae Spears,RB,70,100,109.03717348945793,212.08959738785052,1.5576739069922563,2.120895973878505
2023,00-0039040,De'Von Achane,RB,NA,103,NA,275.94108740618685,NA,2.6790396835552124
2023,00-0039052,Trey Palmer,WR,69,NA,126.29032488739165,NA,1.830294563585386,NA
2023,00-0039062,Jonathan Mingo,WR,85,NA,109.7251075207023,NA,1.2908836178906153,NA
2023,00-0039064,Zay Flowers,WR,109,NA,234.82910177246947,NA,2.1543954291052243,NA
2023,00-0039065,Sam LaPorta,TE,122,NA,226.45589260986867,NA,1.8561958410644972,NA
2023,00-0039066,Michael Mayer,TE,41,NA,78.08353818843887,NA,1.9044765411814357,NA
2023,00-0039067,Rashee Rice,WR,102,NA,230.21118300178205,NA,2.2569723823704124,NA
2023,00-0039075,Puka Nacua,WR,160,NA,309.8133213908295,NA,1.9363332586926845,NA
